Species,Replace
Poa_pratensis_,Poa_pratensis
Festuca_arundanacea,Lolium_arundinaceum
Agrostis_stolonifera_,Agrostis_stolonifera
Taraxacum_agg.,Taraxacum
Deschampsia_flexuosa,Avenella_flexuosa
