Species,Replace
Sedge_flacca,Carex_flacca
Deschampsia_flexuosa,Avenella_flexuosa
Luzula_multiflora_congesta,Luzula_multiflora
Carex_ovalis,Carex_leporina
Trichophorum_germanicum,Trichophorum_cespitosum_subsp._germanicum
Taraxacum_officinale_agg,Taraxacum
Luzula_multiflora_multiflora,Luzula_multiflora
Cochlearia_pyranaica,Cochlearia_pyrenaica
