Species,Replace
Taraxacum_offinale,Taraxacum
Vulpia_myuros,Festuca_myuros
Prunus_Spinosa,Prunus_spinosa
Glechoma_hederacea_,Glechoma_hederacea
Ranunculus_abortivus,Ranunculus_sp.
Geranium_dissectum_,Geranium_dissectum
Cerastium_fontanum_,Cerastium_fontanum
Geranium_disectum,Geranium_dissectum
Vicia_tetrasperma_,Vicia_tetrasperma
Festuca_pratensis,Lolium_pratense
Taraxacum_officinale_(L.),Taraxacum
Cerastium_,Cerastium_sp.
Myosotis_discolor_,Myosotis_discolor
Salix_fragilis,Salix_x_fragilis
Epibolium_ciliatum,Epilobium_ciliatum
