Species,Replace
Struthiopteris_spicant,Blechnum_spicant
Deschampsia_flexirosa,Avenella_flexuosa
Holcus_lanatus_,Holcus_lanatus
Ranunculus_sp,Ranunculus_sp.
Agrostis_stonlonifera,Agrostis_stolonifera
Ranunculus_repens_,Ranunculus_repens
Agrostis_capillaris_,Agrostis_capillaris
Rumex_obtusifolius_,Rumex_obtusifolius
Taraxacum_officinale,Taraxacum
