Species,Replace
Senecio_erucifolius,Jacobaea_erucifolia
Atropa_belladonna,Atropa_bella-donna
Taraxacum_officinale,Taraxacum
Senecio_jacobaea,Jacobaea_vulgaris
Festuca_gigantea,Lolium_giganteum
Deschampsia_flexuosa,Avenella_flexuosa
Chamaenerion_angustifolium,Epilobium_angustifolium
Geranium_robertianium,Geranium_robertianum
