Species,Replace
Deschampsia_flexuosa,Avenella_flexuosa
Taraxacum_officinale,Taraxacum
Festuca_gigantea,Lolium_giganteum 
Geranium_robertianium,Geranium_robertianum
Vicia_fava,Vicia_faba
Fallopia_convolvulvus,Fallopia_convolvulus
Senecio_jacobaea,Jacobaea_vulgaris
Rubus_fructicosus,Rubus_fruticosus
Prunus_spinosa?,Prunus_spinosa
Lotus_glaber,Lotus_tenuis
Vicia_tetraspermae,Vicia_tetrasperma
Deschampsia_caespitosa,Deschampsia_cespitosa
Picris_echioides,Helminthotheca_echioides
Taraxacum_/_Crepis_sp,Taraxacum
Helminthotheca_echioides ,Helminthotheca_echioides
Fraxinus_sp,Fraxinus_sp.
Lysimachia_sp,Lysimachia_sp.
Deschampsia_sp,Deschampsia_sp.
Avena_sp,Avena_sp.
Rumex_sp,Rumex_sp.
Rosa_sp,Rosa_sp.
Rubus_sp?,Rubus_sp.
Festuca_pratensis,Lolium_pratense
Succisa_pratensid,Succisa_pratensis
Viola_sp,Viola_sp.
Lactuca_sp,Lactuca_sp.
Vicia_sp,Vicia_sp.
